Year,Zone,Burned_Ha,Total_Zone_Ha,NBR_Mean,NDVI_Mean
2017,Direct Use Zone,104.93,563.18,-1.4304,-2.8316
2017,Direct Use Zone,20.7,242.05,-0.1736,-1.4689
2018,Direct Use Zone,55.5,563.18,-0.6516,-1.9868
2018,Direct Use Zone,37.28,242.05,-0.4042,-2.1256
2019,Direct Use Zone,81.45,563.18,-0.3813,-2.1347
2019,Direct Use Zone,30.6,242.05,-0.3077,-5.7879
2020,Direct Use Zone,6.87,563.18,-0.1997,-0.4547
2020,Direct Use Zone,15.68,242.05,-0.1895,-1.0966
2021,Direct Use Zone,42.87,563.18,-0.2632,-2.0271
2021,Direct Use Zone,43.4,242.05,-0.3954,-4.1097
2022,Direct Use Zone,92.37,563.18,-0.7199,-4.2076
2022,Direct Use Zone,42.88,242.05,-0.6148,-2.1929
2023,Direct Use Zone,104.62,563.18,-0.6374,-3.7512
2023,Direct Use Zone,22.93,242.05,-0.317,-1.1959
2024,Direct Use Zone,80.42,563.18,-0.6882,-2.7628
2024,Direct Use Zone,11.56,242.05,-0.3076,-3.2775
2025,Direct Use Zone,64.31,563.18,-0.4196,-5.0863
2025,Direct Use Zone,20.5,242.05,-0.2216,-5.3614
2017,Recovery Zone,95.03,429.6,-1.2902,-2.917
2018,Recovery Zone,43.76,429.6,-0.6421,-2.5731
2019,Recovery Zone,105.82,429.6,-0.7442,-4.1844
2020,Recovery Zone,41.77,429.6,-0.1671,-4.7324
2021,Recovery Zone,84.73,429.6,-1.2655,-4.2958
2022,Recovery Zone,73.65,429.6,-0.5158,-4.7012
2023,Recovery Zone,54.22,429.6,-0.2579,-2.9175
2024,Recovery Zone,56.29,429.6,-0.6002,-7.4965
2025,Recovery Zone,63.17,429.6,-0.4537,-7.2363
2017,Special Use Zone,60.93,1480.55,-0.0388,-0.8703
2018,Special Use Zone,100.03,1480.55,-0.1819,-1.4286
2019,Special Use Zone,174.27,1480.55,-0.3626,-2.8468
2020,Special Use Zone,102.35,1480.55,-0.1152,-1.1078
2021,Special Use Zone,126.31,1480.55,-0.2876,-1.6547
2022,Special Use Zone,174.53,1480.55,-0.1731,-1.2392
2023,Special Use Zone,91.97,1480.55,-0.2871,-3.2234
2024,Special Use Zone,87.98,1480.55,-0.3412,-1.2471
2025,Special Use Zone,193.35,1480.55,-0.5813,-5.8823
2017,Tourism And Recreation Zone,12.51,98.8,-0.1949,-1.3896
2017,Tourism And Recreation Zone,62.47,750.87,-0.1642,-2.6264
2017,Tourism And Recreation Zone,0.67,94.29,0.0301,-0.1157
2018,Tourism And Recreation Zone,2.06,98.8,-0.0386,-5.5551
2018,Tourism And Recreation Zone,125.55,750.87,-1.1356,-2.1401
2018,Tourism And Recreation Zone,2.78,94.29,-0.0407,-0.4952
2019,Tourism And Recreation Zone,27.43,98.8,-5.2659,-9.2901
2019,Tourism And Recreation Zone,146.45,750.87,-0.6039,-4.5744
2019,Tourism And Recreation Zone,2.23,94.29,-0.0435,-0.1422
2020,Tourism And Recreation Zone,2.25,98.8,-0.0974,-0.2887
2020,Tourism And Recreation Zone,47.33,750.87,-0.264,-0.8039
2020,Tourism And Recreation Zone,19.67,94.29,-0.1518,-0.1179
2021,Tourism And Recreation Zone,3.11,98.8,-0.1417,-5.1786
2021,Tourism And Recreation Zone,99.11,750.87,-0.2281,-5.1611
2021,Tourism And Recreation Zone,0.42,94.29,-0.0646,-0.2605
2022,Tourism And Recreation Zone,7.49,98.8,-0.1581,-1.9811
2022,Tourism And Recreation Zone,104.49,750.87,-0.2293,-3.0008
2022,Tourism And Recreation Zone,46.71,94.29,-0.3048,-0.6095
2023,Tourism And Recreation Zone,6.47,98.8,-0.1336,-3.3098
2023,Tourism And Recreation Zone,54.87,750.87,-0.1514,-1.5284
2023,Tourism And Recreation Zone,6.41,94.29,-0.1915,-1.2363
2024,Tourism And Recreation Zone,24.71,98.8,-0.258,-6.2032
2024,Tourism And Recreation Zone,86.39,750.87,-0.2654,-4.2368
2024,Tourism And Recreation Zone,20.35,94.29,-0.2504,-0.0349
2025,Tourism And Recreation Zone,29.49,98.8,-1.8622,-5.4984
2025,Tourism And Recreation Zone,107.63,750.87,-0.3986,-6.1628
2025,Tourism And Recreation Zone,2.3,94.29,-0.0534,-1.1157
2017,Wilderness Zone,160.26,1254.31,-1.075,-2.4585
2017,Wilderness Zone,65.49,1361.35,-0.2576,-0.979
2018,Wilderness Zone,253.11,1254.31,-1.3461,-2.3005
2018,Wilderness Zone,183.48,1361.35,-0.9155,-3.2013
2019,Wilderness Zone,105.09,1254.31,-0.3339,-3.6438
2019,Wilderness Zone,116.34,1361.35,-0.3547,-1.6609
2020,Wilderness Zone,158.35,1254.31,-0.3529,-1.3676
2020,Wilderness Zone,18.56,1361.35,-0.1504,-0.8686
2021,Wilderness Zone,78.45,1254.31,-0.2429,-2.9026
2021,Wilderness Zone,138.97,1361.35,-0.5046,-0.8694
2022,Wilderness Zone,172.64,1254.31,-0.4314,-4.1817
2022,Wilderness Zone,83.7,1361.35,-0.2205,-1.0375
2023,Wilderness Zone,242.19,1254.31,-0.7755,-3.1914
2023,Wilderness Zone,85.21,1361.35,-0.2108,-1.1222
2024,Wilderness Zone,122.01,1254.31,-0.5009,-5.566
2024,Wilderness Zone,101.79,1361.35,-0.4279,-2.5372
2025,Wilderness Zone,165.55,1254.31,-0.8335,-5.5216
2025,Wilderness Zone,48.22,1361.35,-0.2301,-1.3743
